item_id,item_name,category,style,color,season,price_range,material
439,Item_439,Dress,Casual,Grey,Fall,High,Cotton
440,Item_440,Bottom,Bohemian,Pink,All,Low,Silk
441,Item_441,Dress,Bohemian,Green,Fall,High,Cotton
442,Item_442,Top,Streetwear,Green,Fall,Medium,Synthetic
443,Item_443,Footwear,Bohemian,White,All,Medium,Silk
444,Item_444,Outerwear,Casual,Yellow,Summer,Medium,Silk
445,Item_445,Outerwear,Sporty,Blue,All,Medium,Linen
446,Item_446,Outerwear,Casual,Yellow,All,Low,Linen
447,Item_447,Footwear,Formal,Blue,Spring,Medium,Synthetic
448,Item_448,Dress,Streetwear,White,Fall,High,Wool
449,Item_449,Accessory,Streetwear,Grey,Fall,Low,Synthetic
450,Item_450,Bottom,Sporty,Red,Summer,Medium,Cotton
451,Item_451,Top,Formal,Green,All,Medium,Polyester
452,Item_452,Accessory,Bohemian,Brown,Winter,Medium,Denim
453,Item_453,Outerwear,Bohemian,Red,Summer,Low,Denim
454,Item_454,Top,Bohemian,Black,Summer,High,Linen
455,Item_455,Dress,Casual,Yellow,Fall,Medium,Cotton
456,Item_456,Accessory,Bohemian,Green,Fall,High,Linen
457,Item_457,Bottom,Formal,Purple,Fall,High,Silk
458,Item_458,Outerwear,Streetwear,Blue,Fall,Low,Silk
459,Item_459,Dress,Casual,Green,Summer,Low,Polyester
460,Item_460,Accessory,Bohemian,Grey,All,High,Cotton
461,Item_461,Bottom,Formal,Black,Fall,Medium,Denim
462,Item_462,Accessory,Sporty,Red,Spring,Low,Polyester
463,Item_463,Outerwear,Formal,Blue,Summer,High,Synthetic
464,Item_464,Dress,Streetwear,Red,Winter,Medium,Cotton
465,Item_465,Top,Formal,White,Winter,Medium,Cotton
466,Item_466,Accessory,Formal,White,All,Medium,Linen
467,Item_467,Footwear,Casual,White,Summer,High,Linen
468,Item_468,Outerwear,Streetwear,Blue,Summer,Low,Cotton
469,Item_469,Bottom,Bohemian,Brown,Summer,Medium,Wool
470,Item_470,Bottom,Streetwear,Green,Spring,Medium,Polyester
471,Item_471,Footwear,Sporty,Red,Spring,High,Cotton
472,Item_472,Footwear,Streetwear,Red,Fall,Medium,Synthetic
473,Item_473,Dress,Casual,Blue,Winter,Medium,Linen
474,Item_474,Footwear,Bohemian,Brown,Spring,Medium,Synthetic
475,Item_475,Outerwear,Streetwear,Purple,Winter,Medium,Polyester
476,Item_476,Accessory,Bohemian,Black,Summer,Medium,Denim
477,Item_477,Footwear,Casual,Yellow,Spring,High,Cotton
478,Item_478,Outerwear,Formal,Red,Winter,Medium,Silk
479,Item_479,Top,Sporty,Grey,Spring,High,Cotton
480,Item_480,Footwear,Streetwear,Pink,Summer,Medium,Cotton
481,Item_481,Top,Bohemian,Blue,Summer,Low,Polyester
482,Item_482,Accessory,Streetwear,Green,Summer,Medium,Synthetic
483,Item_483,Bottom,Casual,Red,Fall,Low,Polyester
484,Item_484,Accessory,Formal,Red,Winter,Medium,Linen
485,Item_485,Footwear,Casual,Purple,Fall,Medium,Wool
486,Item_486,Bottom,Bohemian,Grey,All,High,Cotton
487,Item_487,Accessory,Streetwear,Brown,All,Low,Linen
488,Item_488,Top,Bohemian,Red,Spring,High,Denim
489,Item_489,Bottom,Casual,White,Spring,High,Polyester
490,Item_490,Top,Streetwear,Black,Spring,Low,Wool
491,Item_491,Dress,Bohemian,Purple,Fall,High,Synthetic
492,Item_492,Accessory,Streetwear,Red,Summer,Low,Silk
493,Item_493,Accessory,Sporty,Grey,Spring,Low,Silk
494,Item_494,Top,Casual,Green,Spring,High,Wool
495,Item_495,Dress,Casual,White,All,Medium,Linen
496,Item_496,Bottom,Sporty,Red,Summer,Medium,Synthetic
497,Item_497,Top,Formal,Red,Fall,Medium,Silk
498,Item_498,Dress,Bohemian,Purple,Summer,Low,Cotton
499,Item_499,Top,Formal,Green,All,Medium,Polyester
500,Item_500,Outerwear,Streetwear,White,Fall,Low,Denim
